"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDL51","OUT017",3893.81733670866
"NCY42","OUT027",3458.39663947539
"FDR07","OUT017",1547.56106025588
"FDN40","OUT045",2332.82374950838
"FDB35","OUT027",2547.330463474
"FDA22","OUT017",2605.34661494577
"NCL06","OUT046",3819.59266624376
"FDI35","OUT013",3505.69407113574
"NCW42","OUT045",3356.84596327231
"NCX06","OUT049",3261.5450256176
"FDC37","OUT027",2701.59180841807
"FDZ14","OUT018",1641.29343731635
"DRG49","OUT049",4231.30574165359
"NCG06","OUT045",3913.73097032687
"DRC36","OUT045",2810.15158493463
"FDV21","OUT019",366.786846555319
"FDB53","OUT046",2682.15991844372
"DRP47","OUT019",612.53166194879
"FDA14","OUT013",2494.44553881402
"DRC24","OUT035",2624.4494474357
"FDW21","OUT018",1514.25309198535
"NCH29","OUT046",1874.49121237098
"FDU58","OUT013",2985.2636845726
"FDY27","OUT017",2483.39956162889
"FDV56","OUT035",1655.55845680359
"FDT59","OUT046",3775.65873398859
"FDB23","OUT046",3419.37387354358
"FDR49","OUT045",772.722214507276
"FDB03","OUT010",776.820611500369
"FDN39","OUT045",2611.65074377034
"FDX02","OUT027",6070.12573379826
"FDQ16","OUT027",2696.559269715
"FDU35","OUT018",1496.92256312876
"NCT29","OUT013",1980.97219539633
"FDZ27","OUT046",874.547764669472
"FDN57","OUT017",2151.14456513937
"FDA03","OUT018",2056.27319857719
"FDZ36","OUT045",2923.3506664682
"NCU05","OUT013",1389.46531803076
"FDT39","OUT018",2360.54778168806
"FDK60","OUT017",1643.73740112987
"FDZ25","OUT017",2924.8067904522
"FDG12","OUT046",2382.88446287889
"DRB01","OUT019",464.862802257609
"NCC43","OUT027",5838.83962850212
"FDX13","OUT019",578.044764219012
"FDM22","OUT049",777.501428033722
"FDJ03","OUT027",1594.56067695898
"FDU14","OUT018",3209.27582995001
"FDB33","OUT010",511.634893702902
"FDP27","OUT046",3372.92628176518
"FDO38","OUT010",317.995278783139
"FDE28","OUT027",5848.25491765174
"FDO27","OUT035",1679.79102293867
"DRL23","OUT027",2566.02753224697
"FDS28","OUT046",933.714364993258
"FDX24","OUT013",1289.89136205436
"FDZ02","OUT035",1661.75433499219
"FDL46","OUT045",1745.0601639476
"FDS60","OUT027",4611.9686602458
"NCO06","OUT017",646.372410727782
"FDO16","OUT035",1688.50686593191
"FDC60","OUT049",1555.16618781504
"FDA48","OUT018",3230.51088344176
"FDZ36","OUT027",4684.79677174651
"FDK27","OUT045",1820.73334829522
"FDW23","OUT018",660.758267578621
"FDM14","OUT018",1421.03106642791
"FDM14","OUT013",1667.83719847502
"FDW60","OUT018",2684.12801039299
"FDE21","OUT013",1897.23375595278
"NCM42","OUT035",1936.66814863167
"FDY59","OUT010",239.358830189359
"DRI49","OUT049",1356.39908129849
"FDT28","OUT019",323.961125795033
"FDQ22","OUT018",571.983294380604
"FDR60","OUT049",1160.94903270974
"FDC50","OUT019",248.956166901704
"FDV24","OUT013",2503.22332201399
"DRF48","OUT010",604.148750246488
"FDQ47","OUT046",772.636949386721
"DRN36","OUT049",1669.94869671227
"NCY06","OUT035",2042.34266096001
"FDE52","OUT035",1549.91789965458
"NCB54","OUT045",1639.12545132304
"NCF31","OUT035",2649.0979016154
"FDJ08","OUT027",5108.67353753175
"NCC07","OUT017",1679.74881917714
"NCD19","OUT027",1816.68800766182
"FDL46","OUT049",1769.84581121255
"FDM20","OUT045",4195.41630436742
"NCI06","OUT010",575.502417430477
"DRM11","OUT035",3874.61746543979
"NCH07","OUT018",2329.91077445911
"FDS23","OUT013",2096.79059874689
"FDO49","OUT018",652.152928186657
"FDS35","OUT049",973.73564338069
"DRK39","OUT045",1355.0242473101
"DRI39","OUT049",872.142194108201
"FDV04","OUT017",2527.82580462682
"NCN14","OUT035",3088.26846231952
"FDH08","OUT013",3830.89051501134
"FDS20","OUT046",3338.66727911151
"FDV40","OUT049",1052.38929610513
"FDZ48","OUT010",302.67165111605
"FDS24","OUT027",2671.66962110831
"FDK44","OUT049",2812.00086689423
"FDS48","OUT045",2528.3866744994
"FDK26","OUT010",643.955960572808
"FDD23","OUT045",3102.0979560195
"NCH54","OUT017",2719.12643033812
"NCP14","OUT010",363.750453259614
"FDM60","OUT010",159.821036874391
"FDV24","OUT017",2513.10514694853
"FDH08","OUT018",3425.4989317811
"FDS12","OUT027",3309.23863669414
"FDR39","OUT027",4649.12412517116
"FDP12","OUT027",1399.65070095811
"DRF60","OUT027",5406.98477908089
"FDC09","OUT035",1636.71356920379
"FDF50","OUT018",2847.30605964409
"FDG28","OUT035",4057.80356314416
"NCE19","OUT017",857.060218388597
"NCM53","OUT010",380.919836706408
"NCN18","OUT049",1745.18483937628
"FDF32","OUT035",3467.73403171423
"FDF11","OUT013",3869.88785722318
"DRI59","OUT049",3996.00729903976
"NCG54","OUT035",3111.99381572201
"FDM44","OUT046",1646.2637088779
"FDT57","OUT018",2754.81632663833
"FDV24","OUT046",2334.51565423518
"FDI50","OUT019",562.824727707476
"FDS09","OUT035",950.445828484506
"NCC31","OUT027",3833.6694849778
"FDQ07","OUT019",567.598631037721
"FDC22","OUT017",3042.71066787449
"FDZ56","OUT046",2544.6079794303
"FDZ40","OUT019",172.858455667665
"FDS46","OUT027",2700.9049593323
"DRD24","OUT045",1948.34565123326
"FDV45","OUT017",3138.36299913137
"FDL26","OUT045",2900.84008155725
"FDA56","OUT018",1513.67607360258
"FDN27","OUT046",1790.95899452525
"FDM20","OUT049",3950.35180193551
"FDO16","OUT017",1813.83486832776
"FDL03","OUT035",3332.65889900908
"FDE58","OUT046",2100.37605336775
"FDI02","OUT027",2711.88850693128
"NCC55","OUT019",123.261215385009
"FDR03","OUT018",3029.76617379718
"FDB14","OUT017",1477.96329756033
"FDR45","OUT013",3874.8118354783
"NCN07","OUT017",2234.8674856464
"FDM51","OUT019",259.908668092572
"FDT52","OUT027",6157.55003437418
"FDL26","OUT046",2316.29620551563
"NCZ42","OUT046",3382.64497874729
"DRI47","OUT019",353.539541781061
"FDW40","OUT013",2478.3309219874
"FDN34","OUT046",2697.73111745608
"FDS01","OUT035",3229.80198482379
"NCG55","OUT045",1699.56539819172
"FDC11","OUT035",1282.81773260236
"FDX35","OUT018",3020.69607729975
"NCB06","OUT046",2239.83145658118
"FDR09","OUT019",582.479328621709
"FDC53","OUT017",1933.79921937912
"FDY45","OUT013",3807.68618972653
"FDA22","OUT010",565.667387522616
"FDE02","OUT035",1540.94650170529
"FDW21","OUT045",1771.15831583934
"FDV34","OUT046",1415.56096174342
"FDS59","OUT049",1665.95322982587
"NCW17","OUT017",2238.13420548259
"NCK54","OUT046",2029.62457743244
"FDG17","OUT019",645.402973997336
"FDG35","OUT017",2783.43997040491
"FDD08","OUT010",181.846749294426
"NCO07","OUT017",3817.68969025217
"FDJ10","OUT010",490.914581160958
"FDW36","OUT017",1722.14613218133
"FDW21","OUT010",425.094750549895
"FDY19","OUT017",2050.76710712898
"DRE03","OUT013",688.371300204191
"NCC55","OUT049",773.703864772256
"FDH52","OUT010",255.386018536363
"FDO09","OUT017",3975.12294054253
"FDU43","OUT045",3778.03928771542
"FDX09","OUT010",552.622579081845
"FDH40","OUT019",242.539869759006
"FDW58","OUT017",1671.71968531959
"FDC47","OUT017",4047.12007192834
"NCR41","OUT035",1500.65717131419
"DRG49","OUT035",3789.12376000469
"FDC52","OUT027",4172.23687459989
"FDY13","OUT046",1383.90830960593
"FDY35","OUT013",793.39871006127
"FDI35","OUT017",3520.89043262537
"NCU18","OUT049",2366.79362687264
"FDY33","OUT018",2373.04720791259
"FDC15","OUT027",3866.20439094909
"FDU01","OUT049",2946.83902722176
"NCU42","OUT046",2923.17516597003
"NCV29","OUT018",2377.0575143502
"NCY30","OUT017",2871.33326540756
"FDQ46","OUT049",1831.06080747167
"FDG58","OUT027",4433.15814670173
"FDK33","OUT017",4507.22686664445
"NCD07","OUT045",1615.14132648939
"NCX29","OUT027",3780.79728078853
"NCT42","OUT013",2499.92690493567
"DRN59","OUT035",764.524395491601
"FDI44","OUT035",1268.32931040006
"FDA45","OUT049",2339.56665458177
"FDP31","OUT045",1046.95123740472
"FDY01","OUT046",2099.61571091007
"FDT09","OUT018",1649.89071337191
"DRH03","OUT027",2467.38616635208
"FDA36","OUT018",2755.92905309863
"NCF31","OUT017",2500.99841850232
"FDG14","OUT049",2399.68304431984
"FDG28","OUT027",6173.28739645461
"FDU14","OUT049",3820.41020378815
"FDY47","OUT019",298.948235436112
"FDI56","OUT049",1439.93992245099
"DRD01","OUT013",735.965948964897
"FDM22","OUT046",905.949660134741
"FDH33","OUT013",635.757811050634
"DRZ24","OUT013",1908.02748675396
"NCQ38","OUT046",1723.80215921448
"FDO16","OUT027",2549.38673321934
"FDU07","OUT027",4191.41002954827
"NCB07","OUT013",2710.95946908221
"FDU48","OUT045",2041.32415366821
"NCM43","OUT045",2678.42929085552
"FDR31","OUT010",519.760149980572
"DRK49","OUT018",539.89260022253
"NCI30","OUT010",1003.23896003399
"DRD60","OUT017",3235.47182783997
"NCG19","OUT046",3554.57555559732
"FDH12","OUT035",1571.05921986838
"FDM32","OUT035",1344.26438099908
"FDM27","OUT035",2735.35403898742
"NCU53","OUT027",4348.85359696046
"NCQ18","OUT046",1748.20490934906
"FDS10","OUT013",2824.51754675623
"FDB33","OUT027",4112.66705131666
"FDI12","OUT013",1622.44393767932
"NCW42","OUT013",3683.42259340269
"NCC06","OUT018",1882.07036411905
"FDW02","OUT017",1987.01552345864
"NCD43","OUT017",1817.82922419805
"FDM57","OUT018",1110.3914899493
"FDA58","OUT017",3746.32128895827
"FDK56","OUT046",3203.17486946522
"FDP52","OUT045",3967.50429522616
"FDW20","OUT018",1661.06370134181
"FDS52","OUT049",1644.25089914563
"NCT29","OUT018",1723.21042550752
"NCL54","OUT013",2863.77843557125
"FDC05","OUT045",2592.32233366252
"FDF34","OUT035",3008.33973813792
"FDP03","OUT027",3275.421044329
"FDD32","OUT010",331.105163428439
"FDZ10","OUT045",2018.49196749607
"FDZ40","OUT035",990.644688687956
"FDD51","OUT018",614.691417738563
"NCY30","OUT019",464.973132283933
"FDP58","OUT017",3689.38422612516
"FDV49","OUT017",4194.71727401009
"FDY24","OUT019",270.64085964996
"NCO55","OUT017",1775.6956646937
"FDR13","OUT017",1969.68577733116
"FDS51","OUT017",985.038596432321
"FDP26","OUT045",1430.94090926666
"NCB54","OUT027",3192.87964367824
"FDF32","OUT017",3153.05206788641
"FDN31","OUT018",2696.34017700106
"DRM48","OUT017",682.184586761087
"FDN20","OUT049",2808.82216828486
"DRL01","OUT046",3831.38680238543
"FDV56","OUT049",1599.54963389856
"DRH13","OUT027",2788.73258426856
"FDA03","OUT017",2119.16109719053
"FDF47","OUT027",6261.86875691974
"FDX32","OUT046",2708.14621454641
"FDX57","OUT049",1508.21492787302
"NCA30","OUT045",2620.03420458507
"FDO49","OUT013",732.023027511272
"FDL04","OUT019",266.762460183943
"DRM48","OUT035",734.88119793155
"FDR16","OUT013",3735.87498728354
"NCC19","OUT018",2631.32584678459
"NCE42","OUT045",3116.0350859712
"FDY24","OUT017",1177.54663532271
"FDH19","OUT049",2736.01731921187
"FDJ46","OUT013",2753.39827658609
"FDN45","OUT010",849.732014812893
"FDY08","OUT035",2465.73449038466
"FDZ37","OUT035",1534.02968117201
"NCT30","OUT045",756.4360434299
"DRY23","OUT018",585.039685744803
"NCZ30","OUT018",1861.90785260726
"FDC44","OUT018",1444.29268166172
"FDB45","OUT035",1486.24447445036
"FDY04","OUT013",2612.43433787388
"FDM27","OUT046",2636.58418111577
"FDZ43","OUT017",3999.35989635458
"FDT39","OUT019",390.172095857893
"NCC06","OUT019",337.866037374563
"FDL15","OUT027",4060.3014802241
"FDL57","OUT017",4116.92354071242
"FDU08","OUT046",1650.15548833306
"FDK40","OUT017",4139.86940977349
"FDQ12","OUT010",776.428464028425
"FDS48","OUT017",2768.79814697037
"FDP09","OUT045",3693.30715996349
"FDW21","OUT049",1754.90815154304
"FDY25","OUT035",3346.2073772885
"DRE13","OUT017",1690.28294602903
"FDV43","OUT019",134.416810129532
"FDD22","OUT045",1613.32381682336
"FDM46","OUT019",298.821158327081
"NCO30","OUT010",655.497574670703
"FDM25","OUT046",2719.18079830078
"NCN41","OUT049",2171.52636428999
"FDU24","OUT045",1528.5890337714
"FDZ50","OUT046",3023.54944301691
"FDP45","OUT013",3873.7483500355
"NCM54","OUT045",1817.83812993205
"FDW10","OUT019",450.207578192772
"FDP20","OUT017",2297.29481559646
"FDK32","OUT046",2524.96592765319
"FDN52","OUT049",1491.10265188084
"FDM58","OUT045",1673.08028845187
"FDZ46","OUT027",2950.64213254399
"NCA18","OUT018",1749.07431227502
"FDD35","OUT046",2266.36029906813
"NCK31","OUT035",848.746354163055
"FDI40","OUT027",2698.94313437215
"FDT50","OUT019",259.468976213346
"NCT06","OUT046",2420.2039645437
"FDT31","OUT035",3230.82329201709
"FDT45","OUT049",811.848174050875
"FDT13","OUT045",2777.46355770134
"FDO50","OUT045",1354.38491452436
"NCU18","OUT010",539.908956163975
"NCR54","OUT049",3469.00125076077
"NCO18","OUT018",2366.63038722742
"FDU09","OUT045",822.115257124981
"FDT13","OUT018",2439.64297306183
"FDE09","OUT046",1778.39622683875
"NCK53","OUT019",289.525554524612
"FDG45","OUT049",3822.91696321585
"DRH15","OUT035",844.205511503529
"FDO21","OUT019",543.355514774625
"FDD14","OUT027",4791.84356231601
"FDC09","OUT046",1656.79618562897
"FDH45","OUT027",1496.60899321935
"FDV32","OUT046",1265.46839440275
"FDG12","OUT035",2133.6871693498
"FDS32","OUT013",1997.83632539516
"NCL55","OUT018",3132.16275667892
"DRE01","OUT035",3993.56956442139
"DRE15","OUT049",1281.05276210172
"NCL42","OUT045",3893.31920281346
"FDP31","OUT013",923.960491543085
"FDN33","OUT018",1461.01146671097
"FDZ59","OUT046",2657.83812278143
"FDE45","OUT010",498.057454907438
"FDJ07","OUT013",1661.62197178715
"FDQ45","OUT018",2598.39136597453
"FDM33","OUT027",5679.02571177519
"FDO15","OUT010",352.646925900825
"FDM46","OUT013",1669.4271522794
"FDR03","OUT045",3458.56764836007
"FDY49","OUT018",2153.31632900877
"FDQ60","OUT045",1812.45347511675
"FDW10","OUT049",2568.58208546001
"FDO51","OUT049",744.932827463227
"FDJ40","OUT018",1397.19460980491
"FDS20","OUT018",2710.62977931752
"FDU45","OUT013",1953.43301015455
"FDV02","OUT035",2965.36030260951
"FDN09","OUT046",3457.85327138247
"NCM55","OUT027",5098.79141221107
"FDN23","OUT018",2222.946903687
"FDY31","OUT010",505.942238868725
"FDW03","OUT010",359.926377650009
"FDD14","OUT046",2660.89231191554
"FDV23","OUT017",2105.56996334072
"DRI03","OUT045",2455.21453073049
"FDN13","OUT035",1337.63476147766
"FDF45","OUT027",1758.53415564298
"FDU46","OUT035",1539.49327103905
"FDB57","OUT049",3606.38264166598
"FDV12","OUT049",1657.57034010311
"FDQ58","OUT013",2481.29274930784
"NCA18","OUT017",1822.42916911656
"FDH52","OUT049",885.205339057568
"FDM24","OUT018",2389.49091137604
"NCP43","OUT027",4811.38666792724
"NCO18","OUT019",430.612998188509
"FDM32","OUT017",1379.70496454731
"NCL07","OUT017",649.923448941748
"FDK03","OUT013",4220.14955150806
"FDP59","OUT017",1563.25845986519
"FDQ24","OUT049",3960.03157103284
"FDQ16","OUT018",1297.22108391681
"FDU44","OUT013",2439.63866940296
"FDH28","OUT010",152.035594583807
"FDV28","OUT019",146.880088185948
"FDM22","OUT045",837.799819282031
"FDR56","OUT046",2865.30485517677
"FDV39","OUT049",2930.54844270017
"FDU37","OUT019",252.716499378321
"FDQ11","OUT010",1148.97416175798
"FDX02","OUT045",3869.93705156376
"NCS42","OUT018",1470.47836209778
"FDY57","OUT027",2706.78465811282
"FDB21","OUT049",3772.56435285238
"FDE28","OUT017",3659.8254444459
"FDQ55","OUT017",2026.93062588835
"FDA48","OUT049",3522.62457526355
"FDZ19","OUT045",2396.60189959251
"NCC43","OUT045",3407.53320477588
"NCV18","OUT046",1493.18250610377
"NCA42","OUT018",2541.47586666713
"FDY45","OUT046",3737.93260363843
"NCC30","OUT045",2798.52749646811
"FDM57","OUT013",1533.93331439406
"FDL09","OUT010",559.560652782516
"FDB09","OUT027",3014.29380358202
"FDT44","OUT035",1801.06632589371
"NCT06","OUT027",4501.54620104891
"FDX26","OUT049",3248.20364670502
"FDK32","OUT013",2501.70522344534
"DRA12","OUT046",2259.05085904372
"FDO46","OUT010",611.780821733956
"FDE52","OUT013",1431.86980337866
"NCH42","OUT045",3670.13660248304
"FDV08","OUT035",854.800356853466
"FDB47","OUT018",2790.80902060158
"FDC28","OUT010",284.277568980232
"FDD22","OUT046",1979.94508998922
"FDS07","OUT027",3036.82331975428
"DRI13","OUT045",3667.05588986692
"FDG32","OUT018",3521.40815323592
"FDU14","OUT017",4169.50316658059
"FDD28","OUT019",172.784978747522
"NCP41","OUT017",1776.53992427772
"FDS08","OUT049",2738.59584067134
"FDX47","OUT045",2293.63132924962
"FDC53","OUT019",281.672568342896
"FDQ19","OUT035",4240.33623629984
"FDL14","OUT045",2308.90112390272
"FDM33","OUT019",564.667973730185
"FDA51","OUT045",1743.84638387139
"FDZ27","OUT018",713.680656327967
"FDT04","OUT046",650.024405378161
"DRC13","OUT049",1901.93456084313
"FDR16","OUT027",5669.5851848484
"FDQ03","OUT027",6117.25792668807
"FDE38","OUT035",2963.37305253669
"DRH23","OUT027",1646.56739452639
"FDT11","OUT019",584.021076513452
"FDD09","OUT035",3375.94480475136
"FDR40","OUT045",1444.52318018229
"FDX07","OUT017",2928.46946476952
"FDR07","OUT035",1460.19159061542
"FDA51","OUT017",2229.25815288598
"FDT59","OUT019",606.355379585461
"FDF20","OUT017",3124.99502764698
"FDR13","OUT045",1639.87453449838
"FDY26","OUT049",4151.67707062791
"FDW04","OUT017",2171.86017900675
"FDK52","OUT017",4378.52037292985
"FDN60","OUT049",2686.86967447978
"FDM09","OUT019",432.374611900974
"FDP46","OUT049",1421.27617392107
"FDB50","OUT019",234.565127754046
"NCQ29","OUT049",3673.02544263252
"FDP16","OUT027",5949.95980295582
"FDX33","OUT018",2475.7802229605
"FDP07","OUT010",566.673560162243
"FDN22","OUT046",3525.29279080455
"FDF39","OUT049",4114.20014176089
"FDS21","OUT017",958.552733378425
"NCM42","OUT013",1654.35543068583
"FDK50","OUT019",436.278450910928
"DRF13","OUT027",3962.60300771346
"FDH35","OUT018",2154.43162801277
"FDP60","OUT018",1306.65953918474
"DRJ49","OUT027",3112.07082208859
"NCT42","OUT019",419.289430664768
"FDE38","OUT049",2718.43389254385
"FDI04","OUT049",3177.61798115396
"NCH54","OUT045",2561.18726642835
"FDT56","OUT049",856.479317693473
"DRD15","OUT018",3098.64342316401
"FDV58","OUT013",2777.22689024155
"FDP21","OUT049",3388.55516113432
"FDH05","OUT013",3730.10721687294
"FDR10","OUT027",4280.45101841216
"NCP06","OUT045",2000.84035460171
"FDF33","OUT049",1557.29009128047
"DRK37","OUT013",2874.64219055119
"DRH49","OUT045",1198.58144627882
"FDT58","OUT013",2718.88653626874
"FDD41","OUT018",1545.99802329235
"FDP40","OUT018",1876.35509076498
"FDM51","OUT027",2827.36104634559
"FDO45","OUT010",288.127220908763
"FDW33","OUT010",357.81247662583
"FDY24","OUT045",1099.41473645031
"FDB10","OUT010",757.963921134238
"FDM40","OUT035",2430.05968126467
"NCI06","OUT017",3187.47550198224
"FDW12","OUT019",365.357022315909
"FDX48","OUT027",4287.39080171859
"NCW05","OUT027",2612.33306557358
"FDX27","OUT017",1580.39226596467
"DRM37","OUT045",2882.15254340139
"FDA38","OUT045",3724.5598735986
"FDR36","OUT046",795.700812383076
"FDZ45","OUT046",3191.10239345678
"FDG05","OUT017",2599.11251695705
"FDK28","OUT013",4472.54712659647
"FDV47","OUT045",1309.22231274413
"FDN21","OUT045",2710.14079639342
"FDP20","OUT027",2943.57635250693
"FDI35","OUT045",3073.96760138861
"DRY23","OUT013",711.23313103659
"FDA56","OUT017",2264.4279290896
"FDB09","OUT013",1992.38460807807
"NCO26","OUT027",2920.84340494546
"FDQ49","OUT018",2226.88519997177
"FDI52","OUT027",2946.10997848363
"FDZ44","OUT027",3026.86033685871
"FDZ09","OUT018",2341.16644225475
"FDY03","OUT049",1835.27991127527
"NCG42","OUT017",2366.14467113247
"DRI13","OUT027",5557.70337105848
"FDQ32","OUT013",1952.31704370984
"FDW16","OUT035",1384.87644946095
"FDU27","OUT046",725.265427410922
"FDR28","OUT010",478.051344921946
"FDQ49","OUT010",607.391954318513
"FDS37","OUT046",1951.23265782057
"FDW26","OUT018",3286.93344206013
"FDX12","OUT018",3006.51931389751
"NCP06","OUT013",2574.03265073463
"FDW45","OUT010",541.354428381869
"NCN30","OUT049",1537.35591356765
"FDN24","OUT049",809.14564761931
"NCL41","OUT027",1304.72950112849
"FDR02","OUT019",265.944588123171
"FDD09","OUT010",535.319543960626
"FDS33","OUT010",310.770855649188
"FDU22","OUT045",1841.40061078381
"FDI53","OUT013",2441.82514598813
"DRH01","OUT049",2910.79213697965
"FDX32","OUT013",2531.9641697555
"NCP30","OUT018",663.139997504711
"FDB60","OUT045",2720.04295339543
"FDB14","OUT049",1397.06595938714
"NCP02","OUT035",1034.21806887635
"FDJ10","OUT017",2435.40926903921
"FDG34","OUT046",1972.82521995917
"NCB18","OUT017",1391.09829709033
"FDM16","OUT049",1218.91311891245
"FDW25","OUT018",1567.73772145135
"FDB35","OUT010",333.50812420209
"DRN11","OUT013",2383.12376798731
"FDF41","OUT019",604.281356134641
"FDH16","OUT045",1453.46896445334
"NCQ50","OUT018",2949.56460120839
"DRH23","OUT018",720.694696118444
"DRJ37","OUT013",2324.58649499198
"DRJ24","OUT027",4745.89332376439
"FDY16","OUT035",3165.24912178557
"FDQ27","OUT045",1728.91355328023
"FDZ33","OUT045",2394.01509123268
"FDF29","OUT045",1886.43784337241
"FDA08","OUT049",2663.26541259449
"FDG31","OUT046",996.017641858769
"FDE34","OUT019",452.578880003403
"NCR30","OUT027",2228.59003930006
"FDV33","OUT035",4243.05683344525
"DRZ24","OUT018",1673.9222632185
"NCL54","OUT035",3071.24682265469
"FDR12","OUT049",2947.92185464298
"NCC54","OUT046",3641.7972416482
"DRN59","OUT013",682.249171295506
"FDX50","OUT019",252.569048487112
"FDV31","OUT027",4847.69930607597
"NCA29","OUT027",4524.47532012408
"FDW60","OUT049",3004.04317190393
"FDX08","OUT017",3244.05348605251
"DRD49","OUT013",3815.98451356272
"FDD33","OUT046",3526.61596962419
"FDW35","OUT013",708.788260397695
"FDJ36","OUT017",1810.13004329442
"FDV51","OUT035",3208.97577959258
"FDW36","OUT046",1738.36286212676
"FDH35","OUT046",2327.34420848818
"NCS30","OUT027",3055.2796828024
"FDN49","OUT017",643.304442590253
"FDL08","OUT018",3280.3806983647
"FDI09","OUT013",3609.06941224659
"FDP19","OUT018",1734.13862746804
"FDU21","OUT010",179.25666662276
"NCP41","OUT045",1443.16512283598
"FDY10","OUT013",1919.31610983095
"FDP12","OUT018",547.859010764467
"NCN26","OUT049",1800.73184875135
"FDK44","OUT013",2808.93997876848
"FDC28","OUT049",1564.52350958688
"FDJ41","OUT027",6158.05192478334
"NCT29","OUT035",1930.94452580402
"NCH42","OUT019",606.148188441454
"FDU60","OUT018",2178.10837244068
"FDS02","OUT045",3051.79730231096
"FDC51","OUT046",2335.41865797497
"FDU03","OUT013",2952.45755777227
"FDX39","OUT045",3832.4221346748
"NCY05","OUT010",175.651549865234
"NCL06","OUT027",5686.50264845929
"FDD32","OUT035",1281.79502234015
"NCN41","OUT045",1798.86248257401
"NCX53","OUT049",2383.77790811615
"FDU57","OUT019",356.11185802025
"FDQ23","OUT046",1797.27562526434
"FDQ52","OUT045",4226.69604490584
"FDC14","OUT045",618.827093658631
"FDY09","OUT035",3322.84023804627
"FDQ28","OUT045",2590.10328252178
"FDV25","OUT046",4382.51908695865
"FDJ07","OUT035",1871.26614049996
"DRB25","OUT049",1675.08835115939
"FDK52","OUT019",609.711356487787
"FDY52","OUT027",2305.90749705997
"FDB28","OUT046",3321.54777332981
"FDT36","OUT035",692.04828695601
"FDV25","OUT017",4265.57317528348
"NCN07","OUT027",3020.33950789051
"FDC57","OUT017",2937.66697278662
"FDQ03","OUT018",3169.43348735821
"FDU23","OUT017",2931.93322314828
"NCX41","OUT035",3715.82427066681
"NCD06","OUT035",784.840718074886
"FDW08","OUT045",1595.7805637863
"NCU29","OUT017",2581.00054515482
"NCE06","OUT013",2423.75319875042
"FDV52","OUT010",345.520590059033
"FDB02","OUT017",2956.73772790706
"NCR18","OUT045",693.651230408912
"FDK16","OUT049",1599.13212442767
"NCQ29","OUT010",992.486543634245
"FDZ01","OUT019",259.590878248676
"FDW27","OUT035",2562.11244738895
"FDD17","OUT018",3265.09664710856
"FDW39","OUT013",2730.88845406695
"DRH59","OUT045",1226.9499933727
"FDS52","OUT013",1484.5828838987
"FDU40","OUT027",5531.87512968144
"NCF54","OUT013",2675.20871120065
"FDH46","OUT045",1512.4618143302
"NCP14","OUT049",1741.32905082594
"FDH50","OUT049",3197.53673550962
"DRF15","OUT010",563.61101508932
"FDV27","OUT027",2655.9813483618
"NCJ06","OUT049",2108.01737338918
"FDN02","OUT018",3050.95298279711
"FDQ51","OUT049",846.185806889082
